Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Smallest Bandwidth [Kbps]
35;USED;42.59;8869498;1.03;2.60;11.03;TRUE;30.90;0.12;13.53;19.89;3.07;12.85;37.82;19.92;26.39;3620
35;USED;72.59;15890720;0.88;1.77;7.04;TRUE;43.23;0.11;24.12;35.50;5.39;22.92;66.50;35.54;47.05;3620
35;USED;131.25;32095088;0.79;1.24;3.40;TRUE;83.05;0.11;45.57;71.56;10.81;46.15;126.62;71.60;91.72;3620
35;USED;255.89;67108864;0.74;0.95;2.19;TRUE;159.83;0.11;91.80;149.54;22.36;96.34;251.72;149.52;188.14;3620
35;USED;508.07;134217728;0.72;0.82;1.38;TRUE;309.62;0.11;182.31;298.82;44.59;192.53;504.92;298.86;374.84;3620
;;;;;;;;;;;;;;;;;
50;USED;22.71;2239815;16.08;105.13;351.21;TRUE;15.51;0.09;4.30;5.40;1.56;3.58;18.46;3.32;7.88;6222
50;USED;26.41;4293938;1.88;35.20;191.07;TRUE;18.65;0.09;5.98;7.82;2.64;4.73;21.74;3.55;10.71;6222
50;USED;39.13;8869498;1.26;26.18;86.86;TRUE;27.87;0.10;9.68;17.59;3.85;9.52;34.59;11.65;19.21;6222
50;USED;45.58;15890720;1.01;12.40;93.57;TRUE;31.09;0.08;14.36;20.74;8.34;15.05;42.35;20.73;29.42;6222
50;USED;76.33;32095088;0.85;6.39;24.00;TRUE;52.06;0.09;26.10;41.74;10.80;29.39;71.30;41.71;55.49;6222
50;NOT USED;18.54;2239815;1.35;3.40;13.59;TRUE;3.24;0.09;0.19;7.78;6.95;7.09;10.22;7.04;7.28;2613
50;NOT USED;24.28;4293938;1.11;2.48;7.88;TRUE;3.27;0.11;0.20;14.18;13.29;13.47;16.59;13.41;13.67;2613
50;NOT USED;38.04;8869498;0.92;1.69;4.79;TRUE;3.33;0.11;0.29;28.45;27.40;27.61;30.77;27.53;27.90;2613
50;NOT USED;59.93;15890720;0.82;1.12;1.93;TRUE;3.25;0.12;0.23;49.59;49.05;49.20;52.30;49.17;49.43;2613
50;NOT USED;118.34;32095088;0.75;1.14;11.98;TRUE;3.38;0.12;0.35;110.04;99.00;99.39;110.18;99.13;99.74;2613
50;USED;22.18;2239815;2.95;83.99;286.69;TRUE;15.55;0.08;4.53;5.95;0.86;3.24;17.62;3.05;7.78;6222
50;USED;29.90;4293938;1.86;56.92;400.00;TRUE;21.67;0.10;6.57;11.54;2.59;5.29;24.99;5.73;11.87;6222
50;USED;34.27;8869498;1.27;28.00;86.29;TRUE;21.68;0.09;8.87;18.47;4.44;9.52;28.95;11.65;18.39;6222
50;USED;45.99;15890720;1.01;12.10;38.41;TRUE;30.92;0.08;13.49;20.75;5.97;15.09;42.03;20.73;28.59;6222
50;USED;77.77;32095088;0.85;5.26;23.17;TRUE;52.40;0.09;26.24;41.75;10.51;29.20;72.47;41.73;55.44;6222
50;USED;21.97;2239815;2.95;87.67;433.27;TRUE;15.41;0.08;4.84;5.47;1.51;3.24;17.73;3.05;8.09;6222
50;USED;23.90;4293938;1.90;82.96;355.53;TRUE;15.57;0.09;6.07;9.57;2.81;5.79;20.87;5.72;11.86;6222
50;USED;34.83;8869498;1.24;29.34;121.64;TRUE;21.71;0.09;7.68;13.91;5.09;9.31;26.81;11.64;17.00;6222
50;USED;46.84;15890720;1.01;14.49;100.45;TRUE;30.76;0.09;14.00;20.74;5.95;15.29;41.88;20.73;29.30;6222
50;USED;77.42;32095088;0.86;7.20;31.11;TRUE;52.22;0.09;27.00;41.73;11.42;29.51;72.16;41.71;56.52;6222
50;USED;143.66;67108864;0.78;2.40;6.01;TRUE;98.81;0.09;52.54;87.15;19.13;59.93;141.38;87.05;112.48;6222
50;USED;274.13;134217728;0.74;1.27;6.54;TRUE;187.56;0.12;103.77;174.19;37.00;118.99;271.02;174.01;222.76;6222
50;NOT USED;19.75;2239815;1.32;6.53;39.37;TRUE;3.20;0.09;0.19;9.55;6.94;7.30;10.17;7.04;7.49;2613
50;NOT USED;25.69;4293938;1.03;9.22;35.91;TRUE;0.29;0.10;0.15;17.86;13.28;14.35;18.02;13.39;14.51;2613
50;NOT USED;40.26;8869498;0.91;1.39;3.52;TRUE;3.30;0.11;0.22;28.11;27.40;27.53;30.74;27.53;27.75;2613
50;NOT USED;61.33;15890720;0.82;1.08;2.59;TRUE;0.24;0.13;0.16;49.91;49.05;49.18;50.08;49.18;49.35;2613
50;NOT USED;110.77;32095088;0.76;0.90;1.89;TRUE;3.31;0.12;0.24;100.12;99.01;99.15;102.32;99.14;99.40;2613
50;NOT USED;218.21;67108864;0.73;0.79;1.19;TRUE;3.32;0.12;0.35;207.90;206.96;207.10;210.32;207.10;207.46;2613
50;NOT USED;429.09;134217728;0.72;0.83;3.17;TRUE;3.36;0.13;0.25;423.95;413.92;414.37;424.13;414.06;414.63;2613
50;NOT USED;18.75;2239815;1.32;4.67;42.10;TRUE;3.24;0.09;0.25;9.74;6.94;7.17;10.23;7.04;7.43;2613
50;NOT USED;24.97;4293938;1.04;8.44;38.91;TRUE;3.20;0.10;0.19;18.26;13.28;14.25;18.41;13.38;14.45;2613
50;NOT USED;38.80;8869498;0.89;1.18;2.64;TRUE;3.24;0.09;0.28;27.87;27.39;27.47;30.64;27.51;27.76;2613
50;NOT USED;60.29;15890720;0.79;1.05;2.93;TRUE;3.22;0.11;0.28;50.08;49.04;49.16;52.29;49.17;49.44;2613
50;NOT USED;110.63;32095088;0.76;0.98;2.61;TRUE;3.34;0.12;0.36;100.82;99.01;99.23;102.40;99.14;99.59;2613
50;NOT USED;218.34;67108864;0.73;0.80;1.13;TRUE;3.27;0.13;0.29;207.79;206.96;207.12;210.26;207.12;207.42;2613
50;NOT USED;425.55;134217728;0.73;0.79;2.91;TRUE;0.39;0.14;0.21;422.92;413.92;414.23;423.08;414.07;414.44;2613
50;USED;20.54;2239815;2.91;65.80;313.09;TRUE;12.32;0.08;2.93;5.58;0.80;2.86;16.16;0.90;5.79;6222
50;USED;24.19;4293938;1.86;52.03;280.30;TRUE;15.47;0.09;5.69;8.72;1.38;5.09;21.52;3.05;10.79;6222
50;USED;37.19;8869498;1.28;41.34;349.31;TRUE;24.83;0.09;9.90;14.38;5.48;9.92;32.70;11.64;19.82;6222
50;USED;45.91;15890720;1.08;10.44;71.92;TRUE;31.10;0.11;14.96;23.82;7.41;15.07;41.03;20.79;30.03;6222
50;USED;80.35;32095088;0.88;5.60;22.73;TRUE;55.65;0.11;26.82;43.67;10.54;29.34;76.24;41.75;56.17;6222
50;USED;144.77;67108864;0.81;1.97;6.73;TRUE;100.57;0.12;53.09;88.80;18.88;59.83;139.99;87.12;112.92;6222
50;USED;274.27;134217728;0.74;1.51;9.30;TRUE;186.69;0.13;103.61;174.06;36.97;119.18;268.58;174.04;222.80;6222
50;NOT USED;19.12;2239815;1.45;4.63;14.01;TRUE;3.45;0.09;0.25;7.81;6.95;7.17;10.46;7.05;7.42;2613
50;USED;21.86;2239815;2.95;81.74;377.10;TRUE;15.55;0.09;4.78;5.69;1.38;3.09;17.73;3.05;7.88;6222
50;NOT USED;428.92;134217728;0.73;0.86;3.64;TRUE;0.37;0.15;0.22;425.89;413.93;414.50;426.05;414.09;414.72;2613
50;USED;285.99;134217728;0.76;1.93;12.54;TRUE;188.28;0.16;104.95;175.84;37.26;119.58;282.42;174.06;224.54;6222
50;NOT USED;436.01;134217728;0.72;0.87;3.18;TRUE;3.50;0.18;0.34;424.02;413.91;414.53;424.21;414.11;414.88;2613
50;USED;278.45;134217728;0.75;1.72;11.13;TRUE;186.11;0.14;102.85;174.33;40.48;119.27;271.73;174.06;222.12;6222
50;NOT USED;110.82;32095088;0.77;1.06;1.95;TRUE;3.28;0.10;0.20;100.18;99.02;99.31;102.38;99.13;99.51;2613
50;USED;75.34;32095088;0.85;6.97;22.09;TRUE;52.47;0.09;26.33;41.72;10.63;29.51;72.43;41.70;55.85;6222
50;NOT USED;31.15;2239815;0.97;1.09;1.21;TRUE;0.16;0.11;0.14;16.28;16.24;16.26;16.44;16.35;16.40;1114
50;NOT USED;45.54;4293938;0.83;0.90;0.96;TRUE;0.17;0.11;0.14;31.13;31.09;31.11;31.30;31.21;31.25;1114
50;NOT USED;78.84;8869498;0.76;0.79;0.82;TRUE;0.16;0.12;0.14;64.22;64.18;64.20;64.38;64.30;64.34;1114
50;NOT USED;129.49;15890720;0.73;0.74;0.77;TRUE;0.16;0.11;0.14;114.99;114.95;114.97;115.16;115.07;115.11;1114
50;NOT USED;248.10;32095088;0.71;0.72;0.74;TRUE;0.18;0.11;0.13;232.19;232.13;232.15;232.35;232.25;232.29;1114
50;NOT USED;501.19;67108864;0.70;0.70;0.75;TRUE;0.18;0.11;0.14;485.55;485.34;485.36;485.70;485.46;485.50;1114
50;NOT USED;987.28;134217728;0.70;0.70;0.72;TRUE;0.17;0.11;0.14;970.83;970.63;970.66;970.98;970.75;970.80;1114
50;USED;27.26;2239815;1.32;6.54;55.41;TRUE;18.55;0.11;6.33;10.11;0.86;3.71;24.05;2.32;10.04;1795
50;USED;34.79;4293938;1.01;3.78;29.63;TRUE;24.75;0.11;10.12;19.33;1.37;7.00;29.67;7.32;17.13;1795
50;USED;54.92;8869498;0.85;2.19;14.61;TRUE;33.77;0.11;15.02;39.86;2.51;14.33;46.14;20.04;29.35;1795
50;USED;82.48;15890720;0.78;1.52;8.64;TRUE;46.37;0.11;25.20;71.37;4.27;25.56;78.36;35.77;50.76;1795
50;USED;160.35;32095088;0.75;1.10;4.59;TRUE;86.27;0.11;52.59;144.11;8.31;51.50;157.05;72.07;104.09;1795
50;USED;319.80;67108864;0.71;0.89;2.56;TRUE;162.68;0.11;103.99;301.24;17.04;107.55;311.59;150.51;211.55;1795
50;USED;635.45;134217728;0.70;0.79;1.63;TRUE;314.85;0.11;207.84;602.42;33.77;214.98;632.40;300.85;422.82;1795
50;USED;26.74;2239815;1.32;6.49;52.16;TRUE;21.64;0.11;6.02;10.11;0.84;3.71;23.36;2.76;9.73;1795
50;USED;33.82;4293938;1.02;3.76;29.63;TRUE;24.59;0.11;9.38;19.33;1.37;7.00;29.58;9.67;16.39;1795
50;USED;51.12;8869498;0.85;2.18;14.79;TRUE;30.89;0.11;15.39;39.86;2.52;14.32;43.02;14.95;29.72;1795
50;USED;83.50;15890720;0.78;1.51;8.38;TRUE;48.98;0.11;25.81;71.37;4.26;25.56;75.21;35.77;51.37;1795
50;USED;161.77;32095088;0.74;1.10;4.54;TRUE;80.25;0.11;50.99;144.10;8.30;51.50;157.41;72.07;102.50;1795
50;USED;327.84;67108864;0.71;0.89;2.56;TRUE;165.50;0.11;106.94;301.24;17.04;107.55;321.72;150.51;214.50;1795
50;USED;638.73;134217728;0.70;0.79;1.63;TRUE;314.12;0.11;207.23;602.42;33.77;214.97;634.60;300.85;422.21;1795
50;NOT USED;30.57;2239815;0.96;1.09;1.21;TRUE;0.17;0.11;0.14;16.28;16.24;16.26;16.45;16.35;16.40;1114
50;NOT USED;46.07;4293938;0.84;0.90;0.96;TRUE;0.17;0.11;0.14;31.13;31.09;31.11;31.30;31.21;31.25;1114
50;NOT USED;79.20;8869498;0.76;0.79;0.84;TRUE;0.17;0.11;0.14;64.23;64.18;64.20;64.39;64.29;64.34;1114
50;NOT USED;129.51;15890720;0.73;0.75;0.77;TRUE;0.16;0.12;0.14;114.99;114.95;114.97;115.16;115.07;115.11;1114
50;NOT USED;246.50;32095088;0.71;0.72;0.73;TRUE;0.17;0.11;0.14;232.17;232.13;232.15;232.35;232.25;232.29;1114
50;NOT USED;499.65;67108864;0.70;0.70;0.72;TRUE;0.15;0.11;0.14;485.42;485.34;485.36;485.56;485.45;485.50;1114
50;NOT USED;985.21;134217728;0.70;0.70;0.72;TRUE;0.16;0.12;0.14;970.88;970.63;970.66;971.04;970.75;970.80;1114
50;NOT USED;30.65;2239815;0.97;1.09;1.23;TRUE;0.17;0.11;0.14;16.28;16.24;16.26;16.44;16.35;16.40;1114
50;NOT USED;44.92;4293938;0.83;0.90;0.96;TRUE;0.17;0.11;0.14;31.13;31.09;31.11;31.30;31.21;31.25;1114
50;NOT USED;80.33;8869498;0.76;0.79;0.90;TRUE;0.16;0.11;0.14;64.26;64.18;64.20;64.43;64.30;64.34;1114
50;NOT USED;129.60;15890720;0.73;0.75;0.95;TRUE;0.15;0.11;0.14;115.21;114.95;114.98;115.37;115.07;115.12;1114
50;NOT USED;246.87;32095088;0.71;0.72;0.82;TRUE;0.16;0.11;0.13;232.39;232.13;232.16;232.54;232.25;232.30;1114
50;NOT USED;500.58;67108864;0.70;0.70;0.72;TRUE;0.16;0.11;0.13;485.42;485.34;485.36;485.55;485.45;485.50;1114
50;NOT USED;985.16;134217728;0.70;0.70;0.72;TRUE;0.17;0.11;0.14;970.84;970.63;970.66;970.99;970.75;970.80;1114
50;USED;27.07;2239815;1.32;6.43;52.16;TRUE;18.64;0.11;6.88;10.11;0.84;3.71;24.12;2.34;10.59;1795
50;USED;35.16;4293938;1.02;3.75;29.25;TRUE;21.59;0.11;8.40;19.33;1.37;7.00;28.34;6.40;15.41;1795
50;USED;59.83;8869498;0.85;2.19;14.79;TRUE;33.82;0.11;16.56;39.86;2.52;14.33;55.26;20.04;30.89;1795
50;USED;89.32;15890720;0.78;1.53;8.66;TRUE;49.37;0.11;27.77;71.37;4.27;25.56;84.66;35.77;53.34;1795
50;USED;160.55;32095088;0.74;1.11;4.58;TRUE;82.93;0.11;50.38;144.10;8.31;51.50;157.49;72.07;101.89;1795
50;USED;329.76;67108864;0.71;0.89;2.53;TRUE;163.29;0.11;104.37;301.24;17.03;107.55;324.80;150.51;211.92;1795
50;USED;632.95;134217728;0.71;0.79;1.62;TRUE;314.65;0.11;207.84;602.61;33.77;214.98;627.74;300.85;422.82;1795
50;USED;27.40;2239815;1.32;6.42;52.52;TRUE;18.62;0.11;6.39;10.11;0.84;3.71;24.13;0.99;10.10;1795
50;USED;36.85;4293938;1.02;3.78;29.25;TRUE;21.62;0.11;9.69;19.33;1.37;7.00;32.07;6.25;16.70;1795
50;USED;52.91;8869498;0.85;2.16;14.48;TRUE;30.91;0.11;14.96;39.86;2.51;14.32;46.04;20.04;29.29;1795
50;USED;86.19;15890720;0.78;1.53;8.61;TRUE;48.86;0.11;26.42;71.37;4.27;25.56;81.34;35.77;51.99;1795
50;USED;156.91;32095088;0.74;1.11;4.60;TRUE;80.07;0.11;49.83;144.10;8.31;51.50;145.18;72.07;101.33;1795
50;USED;330.82;67108864;0.71;0.89;2.58;TRUE;165.88;0.11;105.78;301.24;17.04;107.55;327.37;150.51;213.33;1795
50;USED;630.28;134217728;0.70;0.79;1.63;TRUE;317.06;0.11;206.57;602.42;33.77;214.97;626.86;300.85;421.55;1795
50;NOT USED;30.49;2239815;0.97;1.10;1.66;TRUE;0.16;0.12;0.14;16.35;16.24;16.26;16.48;16.36;16.40;1114
50;NOT USED;45.77;4293938;0.84;0.90;0.96;TRUE;0.16;0.11;0.14;31.13;31.09;31.11;31.29;31.21;31.25;1114
50;NOT USED;79.52;8869498;0.76;0.79;0.82;TRUE;0.15;0.11;0.13;64.22;64.18;64.20;64.37;64.30;64.34;1114
50;NOT USED;129.30;15890720;0.73;0.75;0.90;TRUE;0.17;0.11;0.14;115.14;114.95;114.98;115.29;115.07;115.12;1114
50;NOT USED;246.51;32095088;0.71;0.72;0.73;TRUE;0.18;0.11;0.14;232.17;232.13;232.15;232.35;232.25;232.30;1114
50;NOT USED;500.57;67108864;0.70;0.70;0.75;TRUE;0.16;0.11;0.14;485.57;485.34;485.36;485.73;485.46;485.50;1114
50;NOT USED;985.01;134217728;0.70;0.70;0.73;TRUE;0.17;0.11;0.14;970.96;970.63;970.67;971.12;970.75;970.81;1114
50;USED;27.24;2239815;1.31;6.63;56.49;TRUE;18.59;0.11;6.82;10.11;0.86;3.71;24.11;1.93;10.53;1795
50;USED;37.50;4293938;1.02;3.81;29.53;TRUE;24.66;0.11;10.00;19.33;1.37;7.00;31.92;6.49;17.01;1795
50;USED;59.89;8869498;0.85;2.19;14.52;TRUE;34.00;0.11;17.78;39.86;2.51;14.33;55.46;20.04;32.11;1795
50;USED;91.72;15890720;0.78;1.52;8.54;TRUE;49.25;0.11;27.46;71.37;4.27;25.56;87.58;35.77;53.03;1795
50;USED;158.28;32095088;0.74;1.11;4.59;TRUE;85.93;0.12;51.73;144.10;8.31;51.50;154.41;72.08;103.24;1795
50;USED;329.62;67108864;0.71;0.89;2.56;TRUE;163.16;0.11;104.55;301.24;17.04;107.55;324.67;150.51;212.10;1795
50;USED;635.16;134217728;0.70;0.79;1.63;TRUE;312.62;0.11;207.90;602.42;33.77;214.97;631.61;300.85;422.88;1795
50;NOT USED;30.15;2239815;0.97;1.09;1.21;TRUE;0.16;0.12;0.14;16.28;16.24;16.26;16.44;16.36;16.40;1114
50;NOT USED;45.41;4293938;0.83;0.89;0.96;TRUE;0.16;0.11;0.14;31.13;31.09;31.11;31.29;31.21;31.25;1114
50;NOT USED;78.56;8869498;0.76;0.79;0.82;TRUE;0.16;0.11;0.14;64.22;64.18;64.20;64.38;64.29;64.34;1114
50;NOT USED;129.40;15890720;0.73;0.74;0.77;TRUE;0.16;0.11;0.13;114.99;114.95;114.97;115.15;115.07;115.11;1114
50;NOT USED;246.82;32095088;0.71;0.72;0.73;TRUE;0.16;0.11;0.13;232.17;232.13;232.15;232.33;232.25;232.29;1114
50;NOT USED;499.59;67108864;0.70;0.72;1.43;TRUE;0.16;0.11;0.14;488.83;485.34;485.43;488.96;485.45;485.57;1114
50;NOT USED;984.93;134217728;0.70;0.70;0.73;TRUE;0.15;0.11;0.14;970.92;970.63;970.66;971.07;970.75;970.80;1114
50;USED;28.62;2239815;1.31;6.55;51.98;TRUE;18.62;0.11;8.34;10.11;0.84;3.71;24.13;1.79;12.06;1795
50;USED;32.28;4293938;1.02;3.77;29.53;TRUE;24.63;0.11;8.96;19.33;1.37;7.00;28.67;9.44;15.96;1795
50;USED;56.58;8869498;0.85;2.17;14.79;TRUE;33.89;0.11;15.94;39.86;2.52;14.32;52.20;20.04;30.27;1795
50;USED;88.71;15890720;0.78;1.53;8.08;TRUE;49.16;0.11;27.27;71.37;4.25;25.56;84.51;35.77;52.84;1795
50;USED;166.74;32095088;0.74;1.11;4.55;TRUE;86.28;0.11;51.30;144.10;8.30;51.50;163.10;72.07;102.81;1795
50;USED;330.78;67108864;0.71;0.89;2.55;TRUE;165.11;0.11;106.88;301.24;17.04;107.55;326.57;150.51;214.43;1795
50;USED;631.13;134217728;0.70;0.79;1.63;TRUE;312.06;0.11;206.25;602.42;33.77;214.97;627.49;300.85;421.22;1795
50;NOT USED;31.19;2239815;0.97;1.09;1.21;TRUE;0.17;0.11;0.14;16.28;16.24;16.26;16.44;16.35;16.40;1114
50;NOT USED;45.49;4293938;0.83;0.90;0.96;TRUE;0.16;0.11;0.13;31.13;31.09;31.11;31.29;31.21;31.25;1114
50;NOT USED;78.32;8869498;0.76;0.79;0.82;TRUE;0.16;0.11;0.14;64.22;64.18;64.20;64.38;64.30;64.34;1114
50;NOT USED;129.30;15890720;0.73;0.74;0.77;TRUE;0.16;0.12;0.14;114.99;114.95;114.97;115.15;115.07;115.11;1114
50;NOT USED;246.29;32095088;0.71;0.72;0.73;TRUE;0.16;0.11;0.13;232.17;232.13;232.15;232.34;232.25;232.29;1114
50;NOT USED;499.74;67108864;0.70;0.70;0.72;TRUE;0.16;0.11;0.14;485.42;485.34;485.36;485.57;485.46;485.50;1114
50;NOT USED;985.16;134217728;0.70;0.70;0.72;TRUE;0.16;0.11;0.13;970.84;970.63;970.67;970.99;970.75;970.81;1114
50;USED;28.45;2239815;1.42;6.51;55.23;TRUE;18.61;0.11;7.30;10.12;0.86;3.71;24.05;2.45;11.02;1795
50;USED;33.47;4293938;1.01;3.76;29.63;TRUE;21.58;0.11;8.47;19.33;1.37;7.00;26.58;7.31;15.47;1795
50;USED;53.61;8869498;0.85;2.17;14.79;TRUE;33.71;0.11;15.94;39.86;2.52;14.32;46.21;20.05;30.27;1795
50;USED;82.51;15890720;0.78;1.52;8.05;TRUE;48.89;0.11;25.13;71.37;4.25;25.57;78.43;35.77;50.70;1795
50;USED;156.66;32095088;0.74;1.09;4.27;TRUE;85.59;0.11;50.50;144.10;8.28;51.50;153.93;72.08;102.00;1795
50;USED;321.54;67108864;0.71;0.89;2.56;TRUE;166.02;0.11;105.16;301.24;17.04;107.55;317.84;150.51;212.71;1795
50;USED;638.70;134217728;0.70;0.79;1.63;TRUE;313.90;0.11;206.74;602.42;33.77;214.98;632.99;300.86;421.72;1795
50;NOT USED;30.42;2239815;0.97;1.09;1.36;TRUE;0.16;0.11;0.14;16.30;16.24;16.26;16.46;16.36;16.40;1114
50;NOT USED;45.49;4293938;0.83;0.90;0.96;TRUE;0.16;0.11;0.14;31.13;31.09;31.11;31.30;31.21;31.25;1114
50;NOT USED;78.66;8869498;0.76;0.79;0.84;TRUE;0.16;0.11;0.13;64.23;64.18;64.20;64.39;64.30;64.34;1114
50;NOT USED;129.36;15890720;0.73;0.74;0.77;TRUE;0.16;0.12;0.13;114.99;114.95;114.97;115.15;115.07;115.11;1114
50;NOT USED;247.26;32095088;0.71;0.72;0.74;TRUE;0.16;0.11;0.14;232.21;232.13;232.16;232.34;232.25;232.30;1114
50;NOT USED;500.29;67108864;0.70;0.70;0.72;TRUE;0.16;0.11;0.13;485.40;485.34;485.36;485.54;485.46;485.50;1114
50;NOT USED;984.64;134217728;0.70;0.70;0.73;TRUE;0.16;0.11;0.14;970.91;970.63;970.66;971.07;970.75;970.80;1114
