Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
5;NOT USED;81.17;32095088;0.82;0.96;1.05;TRUE;0.13;0.11;0.12;78.39;43.48;50.47;78.52;43.60;50.59;4.22;1.82;3.16;2.21;1.57;1.99;3302
5;NOT USED;81.28;32095088;0.85;1.03;1.18;TRUE;0.17;0.12;0.15;78.42;43.49;50.51;78.60;43.63;50.67;7.79;1.55;4.13;2.38;1.88;2.11;3302
5;USED;80.93;32095088;0.93;1.44;2.63;TRUE;36.66;0.12;7.44;78.48;10.11;37.33;78.64;32.78;44.77;8.80;2.34;4.47;2.77;1.77;2.21;3302
5;USED;82.03;32095088;0.83;1.29;2.08;TRUE;36.56;0.13;7.42;78.40;10.05;37.30;78.54;32.78;44.72;0.53;0.29;0.35;2.39;1.57;2.00;3302
5;NOT USED;81.89;32095088;0.70;0.79;1.16;TRUE;0.14;0.13;0.13;78.39;43.48;50.48;78.53;43.62;50.62;0.53;0.34;0.39;2.05;1.57;1.82;3302
5;USED;166.31;67108864;0.79;1.05;1.70;TRUE;73.21;0.11;14.73;163.88;20.95;77.86;164.01;68.27;92.60;5.19;0.93;3.35;2.64;1.77;2.19;3302
5;NOT USED;166.38;67108864;0.76;0.90;1.04;TRUE;0.13;0.11;0.12;163.83;90.80;105.48;163.96;90.92;105.60;5.84;1.70;3.58;2.21;1.88;2.11;3302
5;NOT USED;166.09;67108864;0.75;0.82;0.85;TRUE;0.12;0.10;0.11;163.81;90.79;105.40;163.94;90.90;105.52;7.84;5.08;5.84;2.21;1.88;2.05;3302
5;USED;166.31;67108864;0.77;1.05;1.55;TRUE;73.25;0.11;14.75;163.85;20.92;77.87;163.97;68.29;92.62;8.39;3.06;5.00;2.52;1.57;2.08;3302
5;USED;166.68;67108864;0.76;1.03;1.35;TRUE;73.02;0.13;14.71;163.82;20.87;77.87;163.96;68.26;92.58;0.53;0.28;0.35;2.39;1.57;2.00;3302
