Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
20;NOT USED;780.52;134217728;0.70;0.70;0.72;TRUE;3.20;0.09;0.27;775.27;775.14;775.18;778.35;775.24;775.45;7.56;1.33;3.78;2.51;1.08;2.19;1395
20;USED;830.43;134217728;0.70;0.73;0.78;TRUE;279.22;0.12;178.17;550.58;99.15;317.04;827.40;271.46;495.21;1.41;0.35;0.71;1.87;0.99;1.36;1964
20;NOT USED;790.46;134217728;0.70;0.78;2.29;TRUE;0.15;0.12;0.13;787.39;775.13;775.77;787.54;775.25;775.91;1.54;0.80;1.09;1.79;1.08;1.76;1964
20;NOT USED;58.69;8869498;0.80;0.92;3.01;TRUE;0.16;0.12;0.13;52.40;51.27;51.33;52.56;51.39;51.47;1.51;0.79;1.08;1.79;1.08;1.76;1395
20;USED;65.46;8869498;0.70;0.86;2.04;TRUE;24.57;0.12;13.82;36.59;6.63;21.03;61.16;18.12;34.86;1.43;0.35;0.74;1.87;0.99;1.36;1964
20;NOT USED;99.41;15890720;0.74;0.83;2.20;TRUE;0.15;0.11;0.13;93.14;91.81;91.89;93.29;91.92;92.03;1.52;0.79;1.09;1.79;1.08;1.76;1395
20;USED;106.43;15890720;0.70;0.78;1.60;TRUE;36.83;0.11;22.49;65.23;11.83;37.60;102.01;32.30;60.10;1.42;0.34;0.71;2.02;0.99;1.37;1964
20;NOT USED;195.38;32095088;0.72;0.81;2.36;TRUE;0.15;0.11;0.13;188.41;185.38;185.56;188.57;185.50;185.70;1.52;0.79;1.09;1.79;1.08;1.76;1395
20;USED;205.29;32095088;0.70;0.74;1.06;TRUE;70.47;0.12;44.71;131.70;23.77;75.87;202.08;65.08;120.58;1.44;0.35;0.72;1.87;0.99;1.36;1964
20;NOT USED;401.62;67108864;0.70;0.72;2.15;TRUE;0.16;0.12;0.13;393.13;387.58;387.88;393.29;387.70;388.02;1.53;0.78;1.09;1.79;1.08;1.76;1395
20;USED;418.51;67108864;0.71;0.84;1.70;TRUE;140.96;0.11;90.21;275.38;50.02;158.60;415.50;135.80;248.82;7.86;2.11;4.19;2.24;1.04;1.62;1964
20;NOT USED;792.05;134217728;0.70;0.72;2.15;TRUE;0.16;0.11;0.13;786.29;775.13;775.73;786.45;775.24;775.87;1.54;0.79;1.09;1.79;1.08;1.72;1395
20;USED;831.48;134217728;0.70;0.73;0.80;TRUE;278.71;0.10;178.95;550.70;99.17;317.06;829.42;271.44;496.02;7.53;2.14;4.31;2.24;0.99;1.58;1964
20;USED;22.83;2239815;1.09;2.91;6.09;TRUE;9.24;0.11;4.38;9.24;1.74;5.36;18.44;4.71;9.75;1.57;0.34;0.72;2.02;0.99;1.37;1395
20;USED;35.86;4293938;0.92;1.83;3.43;TRUE;15.39;0.12;7.58;17.66;3.25;10.21;33.06;8.87;17.79;1.44;0.35;0.71;2.02;0.99;1.37;1964
35;USED;121.29;2239815;0.77;1.04;1.49;TRUE;18.46;0.12;6.71;115.74;12.07;28.55;115.90;12.20;35.26;6.82;0.82;2.66;2.07;0.93;1.41;156
35;NOT USED;118.20;2239815;0.78;0.97;1.08;TRUE;0.16;0.12;0.14;115.76;24.11;26.74;115.92;24.23;26.88;6.82;1.29;1.92;2.00;1.47;1.63;156
35;NOT USED;124.85;2239815;0.77;0.97;1.08;TRUE;0.16;0.12;0.14;115.74;24.11;26.74;115.90;24.24;26.88;6.81;1.30;1.91;2.00;1.47;1.63;156
35;USED;119.04;2239815;0.80;1.05;1.45;TRUE;18.55;0.11;7.63;115.78;12.07;28.55;115.98;12.19;36.19;6.80;0.80;2.65;2.07;0.93;1.41;156
35;NOT USED;118.20;2239815;0.78;0.97;1.08;TRUE;0.16;0.12;0.14;115.76;24.11;26.74;115.92;24.23;26.88;6.82;1.29;1.92;2.00;1.47;1.63;156
35;USED;123.92;2239815;0.78;1.04;1.45;TRUE;18.48;0.12;7.03;115.76;12.07;28.55;115.92;12.20;35.59;12.60;1.34;5.65;3.73;0.93;2.04;156
35;USED;121.29;2239815;0.77;1.04;1.49;TRUE;18.46;0.12;6.71;115.74;12.07;28.55;115.90;12.20;35.26;6.82;0.82;2.66;2.07;0.93;1.41;156
35;USED;123.08;2239815;0.78;1.98;33.74;TRUE;15.49;0.12;6.47;115.78;12.08;28.66;115.95;12.20;35.13;18.07;1.55;6.39;3.96;0.93;1.84;156
35;NOT USED;118.07;2239815;0.79;0.98;1.07;TRUE;3.23;0.11;0.22;115.77;24.11;26.74;115.94;24.23;26.97;12.76;2.25;6.40;3.33;1.47;2.28;156
35;NOT USED;228.27;4293938;0.74;0.84;0.90;TRUE;0.17;0.11;0.13;221.84;46.17;51.21;221.99;46.29;51.34;8.44;2.40;4.61;3.20;1.47;2.13;156
35;USED;232.72;4293938;0.73;0.89;1.70;TRUE;30.59;0.12;13.02;221.82;23.10;54.68;221.98;23.23;67.70;6.81;0.80;2.66;2.07;0.93;1.41;156
35;NOT USED;226.38;4293938;0.73;0.83;0.89;TRUE;0.16;0.13;0.14;221.82;46.17;51.20;221.98;46.30;51.35;6.81;1.29;1.92;2.00;1.47;1.63;156
35;USED;229.67;4293938;0.74;0.88;1.06;TRUE;30.67;0.11;12.25;221.83;23.10;54.68;221.98;23.21;66.94;17.74;1.92;6.46;3.96;0.93;2.17;156
35;NOT USED;226.38;4293938;0.73;0.83;0.89;TRUE;0.16;0.13;0.14;221.82;46.17;51.20;221.98;46.30;51.35;6.81;1.29;1.92;2.00;1.47;1.63;156
35;USED;225.48;4293938;0.74;0.87;1.03;TRUE;30.77;0.11;13.30;221.84;23.10;54.68;222.00;23.21;67.98;12.90;1.95;5.78;3.73;0.93;1.97;156
35;USED;232.72;4293938;0.73;0.89;1.70;TRUE;30.59;0.12;13.02;221.82;23.10;54.68;221.98;23.23;67.70;6.81;0.80;2.66;2.07;0.93;1.41;156
35;NOT USED;230.11;4293938;0.73;0.83;0.89;TRUE;0.16;0.12;0.14;221.82;46.17;51.20;221.97;46.30;51.35;6.82;1.28;1.91;2.00;1.47;1.63;156
35;USED;226.54;4293938;0.73;0.90;1.83;TRUE;30.68;0.12;13.23;221.82;23.10;54.68;221.98;23.22;67.92;6.81;0.82;2.65;2.07;0.93;1.41;156
35;NOT USED;468.47;8869498;0.71;0.76;0.79;TRUE;0.16;0.13;0.14;458.10;95.32;105.70;458.26;95.45;105.84;6.81;1.28;1.91;2.00;1.47;1.63;156
35;USED;461.94;8869498;0.71;0.81;1.48;TRUE;55.03;0.12;23.39;458.10;47.65;112.89;458.25;47.78;136.29;6.80;0.80;2.65;2.07;0.93;1.41;156
35;NOT USED;460.82;8869498;0.71;0.76;0.79;TRUE;0.16;0.13;0.14;458.11;95.32;105.70;458.27;95.45;105.84;6.81;1.29;1.92;2.00;1.47;1.63;156
35;USED;468.33;8869498;0.71;0.82;1.56;TRUE;52.23;0.12;24.27;458.10;47.66;112.90;458.26;47.78;137.17;6.82;0.81;2.66;2.56;0.93;1.44;156
35;USED;830.64;15890720;0.70;0.76;1.51;TRUE;94.40;0.12;43.54;820.68;85.33;202.21;820.83;85.46;245.75;6.82;0.81;2.66;2.07;0.93;1.41;156
35;USED;460.73;8869498;0.72;0.78;0.92;TRUE;55.43;0.11;25.84;458.15;47.65;112.88;458.35;47.77;138.73;9.80;1.15;4.45;3.96;0.93;1.83;156
35;USED;468.33;8869498;0.71;0.82;1.56;TRUE;52.23;0.12;24.27;458.10;47.66;112.90;458.26;47.78;137.17;6.82;0.81;2.66;2.56;0.93;1.44;156
35;USED;462.98;8869498;0.72;0.78;0.86;TRUE;52.15;0.11;24.04;458.12;47.65;112.88;458.28;47.77;136.93;11.23;1.89;5.36;3.96;0.93;2.06;156
35;NOT USED;460.82;8869498;0.71;0.76;0.79;TRUE;0.16;0.13;0.14;458.11;95.32;105.70;458.27;95.45;105.84;6.81;1.29;1.92;2.00;1.47;1.63;156
35;USED;830.64;15890720;0.70;0.76;1.51;TRUE;94.40;0.12;43.54;820.68;85.33;202.21;820.83;85.46;245.75;6.82;0.81;2.66;2.07;0.93;1.41;156
35;NOT USED;824.10;15890720;0.70;0.73;0.75;TRUE;0.17;0.12;0.14;820.68;170.74;189.32;820.84;170.87;189.46;6.81;1.30;1.92;2.00;1.47;1.63;156
35;NOT USED;824.10;15890720;0.70;0.73;0.75;TRUE;0.17;0.12;0.14;820.68;170.74;189.32;820.84;170.87;189.46;6.81;1.30;1.92;2.00;1.47;1.63;156
35;NOT USED;831.90;15890720;0.70;0.73;0.77;TRUE;0.16;0.12;0.14;820.68;170.73;189.32;820.83;170.86;189.47;6.81;1.28;1.91;2.00;1.47;1.64;156
35;USED;824.07;15890720;0.70;0.75;1.08;TRUE;95.14;0.13;43.62;820.68;85.34;202.20;820.83;85.47;245.82;6.80;0.82;2.65;2.07;0.93;1.41;156
35;USED;823.71;15890720;0.71;0.74;0.80;TRUE;88.75;0.11;41.52;820.70;85.34;202.20;820.85;85.46;243.72;12.19;1.72;5.96;3.96;0.93;1.90;156
35;USED;825.15;15890720;0.71;0.74;0.80;TRUE;92.10;0.11;44.05;820.72;85.34;202.19;820.91;85.46;246.25;8.68;1.20;4.47;3.73;0.93;1.69;156
35;NOT USED;1665.60;32095088;0.70;0.71;0.74;TRUE;0.16;0.13;0.14;1657.48;344.79;382.31;1657.64;344.92;382.46;6.81;1.28;1.90;2.00;1.47;1.63;156
35;NOT USED;1664.45;32095088;0.70;0.71;0.72;TRUE;0.17;0.12;0.14;1657.48;344.79;382.31;1657.64;344.92;382.45;6.82;1.29;1.92;2.00;1.47;1.63;156
35;USED;1667.65;32095088;0.70;0.74;1.31;TRUE;177.90;0.12;84.27;1657.48;172.31;408.36;1657.64;172.43;492.64;6.81;0.81;2.66;2.07;0.93;1.43;156
35;USED;1663.92;32095088;0.70;0.71;0.74;TRUE;180.35;0.12;85.87;1657.52;172.31;408.32;1657.70;172.44;494.19;11.89;1.67;5.08;3.96;0.93;1.92;156
35;USED;1664.30;32095088;0.70;0.72;0.74;TRUE;180.10;0.12;85.70;1657.51;172.31;408.32;1657.65;172.44;494.03;15.88;1.58;6.43;3.96;0.93;2.14;156
35;USED;1667.65;32095088;0.70;0.74;1.31;TRUE;177.90;0.12;84.27;1657.48;172.31;408.36;1657.64;172.43;492.64;6.81;0.81;2.66;2.07;0.93;1.43;156
35;NOT USED;1664.45;32095088;0.70;0.71;0.72;TRUE;0.17;0.12;0.14;1657.48;344.79;382.31;1657.64;344.92;382.45;6.82;1.29;1.92;2.00;1.47;1.63;156
35;NOT USED;3474.41;67108864;0.70;0.70;0.73;TRUE;0.17;0.12;0.14;3465.60;720.88;799.32;3465.75;721.01;799.47;6.81;1.29;1.92;2.00;1.47;1.63;156
35;NOT USED;3473.46;67108864;0.70;0.70;0.72;TRUE;0.16;0.12;0.14;3465.60;720.88;799.33;3465.75;721.01;799.47;6.80;1.28;1.92;2.00;1.47;1.63;156
35;USED;3469.61;67108864;0.70;0.72;1.04;TRUE;367.37;0.13;175.81;3465.60;360.22;853.77;3465.75;360.36;1029.58;6.81;0.81;2.66;2.07;0.93;1.41;156
35;NOT USED;3474.41;67108864;0.70;0.70;0.73;TRUE;0.17;0.12;0.14;3465.60;720.88;799.32;3465.75;721.01;799.47;6.81;1.29;1.92;2.00;1.47;1.63;156
35;USED;3469.61;67108864;0.70;0.72;1.04;TRUE;367.37;0.13;175.81;3465.60;360.22;853.77;3465.75;360.36;1029.58;6.81;0.81;2.66;2.07;0.93;1.41;156
35;USED;6942.83;134217728;0.69;0.71;1.01;TRUE;727.34;0.13;351.30;6931.14;720.40;1707.42;6931.30;720.53;2058.73;6.82;0.80;2.65;2.56;0.93;1.44;156
35;NOT USED;6937.62;134217728;0.69;0.70;0.71;TRUE;0.16;0.13;0.14;6931.12;1441.71;1598.58;6931.28;1441.84;1598.73;6.82;1.29;1.92;2.00;1.47;1.64;156
35;NOT USED;6937.62;134217728;0.69;0.70;0.71;TRUE;0.16;0.13;0.14;6931.12;1441.71;1598.58;6931.28;1441.84;1598.73;6.82;1.29;1.92;2.00;1.47;1.64;156
35;USED;6942.83;134217728;0.69;0.71;1.01;TRUE;727.34;0.13;351.30;6931.14;720.40;1707.42;6931.30;720.53;2058.73;6.82;0.80;2.65;2.56;0.93;1.44;156
50;USED;44.88;2239815;0.70;1.28;8.99;TRUE;33.60;0.12;7.58;32.93;1.54;18.82;40.57;16.86;26.41;2.46;0.35;1.48;1.92;0.96;1.54;549
50;NOT USED;53.84;2239815;0.85;1.07;9.28;TRUE;6.71;0.12;0.27;35.66;32.91;32.99;42.38;33.04;33.26;3.16;1.80;2.36;1.82;1.28;1.59;549
50;USED;44.88;2239815;0.70;1.28;8.99;TRUE;33.60;0.12;7.58;32.93;1.54;18.82;40.57;16.86;26.41;2.46;0.35;1.48;1.92;0.96;1.54;549
50;NOT USED;52.68;2239815;0.85;1.34;22.45;TRUE;5.22;0.12;0.24;39.96;32.91;33.07;45.18;33.04;33.32;3.17;1.81;2.36;1.82;1.28;1.59;549
50;NOT USED;53.84;2239815;0.85;1.07;9.28;TRUE;6.71;0.12;0.27;35.66;32.91;32.99;42.38;33.04;33.26;3.16;1.80;2.36;1.82;1.28;1.59;549
50;USED;45.53;2239815;0.90;1.42;6.69;TRUE;33.68;0.12;7.26;32.93;1.52;18.81;36.91;23.31;26.07;2.46;0.38;1.48;2.30;0.96;1.56;549
50;USED;45.53;2239815;0.90;1.42;6.69;TRUE;33.68;0.12;7.26;32.93;1.52;18.81;36.91;23.31;26.07;2.46;0.38;1.48;2.30;0.96;1.56;549
50;NOT USED;52.68;2239815;0.85;1.34;22.45;TRUE;5.22;0.12;0.24;39.96;32.91;33.07;45.18;33.04;33.32;3.17;1.81;2.36;1.82;1.28;1.59;549
50;NOT USED;83.13;4293938;0.78;0.82;1.63;TRUE;7.53;0.12;0.29;63.59;63.06;63.08;71.12;63.18;63.38;3.16;1.79;2.36;1.82;1.28;1.59;549
50;USED;72.64;4293938;0.80;1.09;4.40;TRUE;55.04;0.12;13.72;63.07;2.86;36.00;68.38;42.50;49.72;2.45;0.39;1.48;1.92;0.96;1.54;549
50;NOT USED;77.96;4293938;0.78;0.98;9.82;TRUE;5.66;0.12;0.25;68.72;63.06;63.19;74.38;63.18;63.44;3.14;1.79;2.36;2.55;1.28;1.61;549
50;NOT USED;77.96;4293938;0.78;0.98;9.82;TRUE;5.66;0.12;0.25;68.72;63.06;63.19;74.38;63.18;63.44;3.14;1.79;2.36;2.55;1.28;1.61;549
50;USED;74.50;4293938;0.70;0.95;4.29;TRUE;52.00;0.12;13.72;63.07;2.86;36.00;65.34;44.52;49.72;2.47;0.38;1.48;1.92;0.96;1.54;549
50;USED;74.50;4293938;0.70;0.95;4.29;TRUE;52.00;0.12;13.72;63.07;2.86;36.00;65.34;44.52;49.72;2.47;0.38;1.48;1.92;0.96;1.54;549
50;NOT USED;83.13;4293938;0.78;0.82;1.63;TRUE;7.53;0.12;0.29;63.59;63.06;63.08;71.12;63.18;63.38;3.16;1.79;2.36;1.82;1.28;1.59;549
50;USED;72.64;4293938;0.80;1.09;4.40;TRUE;55.04;0.12;13.72;63.07;2.86;36.00;68.38;42.50;49.72;2.45;0.39;1.48;1.92;0.96;1.54;549
50;USED;137.14;8869498;0.74;0.89;2.39;TRUE;103.86;0.12;26.56;130.21;5.81;74.30;131.35;88.00;100.87;2.47;0.38;1.48;1.92;0.96;1.55;549
50;NOT USED;146.09;8869498;0.73;0.82;4.79;TRUE;5.93;0.12;0.26;135.44;130.20;130.32;141.37;130.32;130.58;3.18;1.81;2.36;1.82;1.28;1.60;549
50;USED;135.97;8869498;0.70;0.82;2.49;TRUE;103.31;0.12;26.63;130.21;5.80;74.30;130.77;87.94;100.93;2.46;0.37;1.48;1.92;0.96;1.54;549
50;USED;135.97;8869498;0.70;0.82;2.49;TRUE;103.31;0.12;26.63;130.21;5.80;74.30;130.77;87.94;100.93;2.46;0.37;1.48;1.92;0.96;1.54;549
50;NOT USED;146.09;8869498;0.73;0.82;4.79;TRUE;5.93;0.12;0.26;135.44;130.20;130.32;141.37;130.32;130.58;3.18;1.81;2.36;1.82;1.28;1.60;549
50;NOT USED;150.90;8869498;0.73;0.81;4.26;TRUE;5.95;0.12;0.26;134.75;130.20;130.30;140.71;130.32;130.57;3.19;1.80;2.37;1.82;1.28;1.59;549
50;USED;137.14;8869498;0.74;0.89;2.39;TRUE;103.86;0.12;26.56;130.21;5.81;74.30;131.35;88.00;100.87;2.47;0.38;1.48;1.92;0.96;1.55;549
50;NOT USED;150.90;8869498;0.73;0.81;4.26;TRUE;5.95;0.12;0.26;134.75;130.20;130.30;140.71;130.32;130.57;3.19;1.80;2.37;1.82;1.28;1.59;549
50;NOT USED;253.72;15890720;0.72;0.72;0.76;TRUE;7.43;0.12;0.29;233.32;233.22;233.24;240.69;233.35;233.53;3.16;1.79;2.36;1.82;1.28;1.59;549
50;USED;243.83;15890720;0.72;0.81;1.65;TRUE;174.28;0.12;47.42;233.24;10.34;133.07;233.38;164.29;180.49;2.47;0.37;1.48;1.92;0.96;1.54;549
50;USED;243.83;15890720;0.72;0.81;1.65;TRUE;174.28;0.12;47.42;233.24;10.34;133.07;233.38;164.29;180.49;2.47;0.37;1.48;1.92;0.96;1.54;549
50;NOT USED;253.72;15890720;0.72;0.72;0.76;TRUE;7.43;0.12;0.29;233.32;233.22;233.24;240.69;233.35;233.53;3.16;1.79;2.36;1.82;1.28;1.59;549
50;NOT USED;253.53;15890720;0.72;0.76;2.92;TRUE;5.98;0.12;0.26;238.33;233.22;233.34;244.31;233.35;233.61;3.16;1.79;2.36;1.82;1.28;1.59;549
50;USED;246.94;15890720;0.70;0.77;1.71;TRUE;171.01;0.12;46.18;233.24;10.32;133.07;233.38;164.30;179.25;2.46;0.37;1.48;1.92;0.96;1.54;549
50;USED;246.94;15890720;0.70;0.77;1.71;TRUE;171.01;0.12;46.18;233.24;10.32;133.07;233.38;164.30;179.25;2.46;0.37;1.48;1.92;0.96;1.54;549
50;NOT USED;253.53;15890720;0.72;0.76;2.92;TRUE;5.98;0.12;0.26;238.33;233.22;233.34;244.31;233.35;233.61;3.16;1.79;2.36;1.82;1.28;1.59;549
50;NOT USED;491.82;32095088;0.70;0.75;3.04;TRUE;4.06;0.12;0.22;481.93;471.00;471.24;486.00;471.12;471.47;3.18;1.79;2.37;1.82;1.28;1.59;549
50;NOT USED;491.82;32095088;0.70;0.75;3.04;TRUE;4.06;0.12;0.22;481.93;471.00;471.24;486.00;471.12;471.47;3.18;1.79;2.37;1.82;1.28;1.59;549
50;USED;481.45;32095088;0.70;0.74;1.26;TRUE;341.08;0.12;93.61;471.02;20.78;268.71;471.16;331.66;362.33;2.45;0.39;1.47;1.92;0.96;1.54;549
50;USED;481.45;32095088;0.70;0.74;1.26;TRUE;341.08;0.12;93.61;471.02;20.78;268.71;471.16;331.66;362.33;2.45;0.39;1.47;1.92;0.96;1.54;549
50;USED;482.20;32095088;0.71;0.84;5.75;TRUE;333.97;0.12;92.03;471.02;20.78;268.79;471.16;331.65;360.82;2.49;0.39;1.48;1.92;0.96;1.54;549
50;USED;482.20;32095088;0.71;0.84;5.75;TRUE;333.97;0.12;92.03;471.02;20.78;268.79;471.16;331.65;360.82;2.49;0.39;1.48;1.92;0.96;1.54;549
50;NOT USED;491.55;32095088;0.70;0.74;2.45;TRUE;5.03;0.12;0.24;479.16;471.00;471.19;484.19;471.13;471.43;3.15;1.80;2.37;1.82;1.28;1.59;549
50;NOT USED;1004.79;67108864;0.70;0.71;1.16;TRUE;5.90;0.12;0.25;989.34;984.78;984.90;995.24;984.91;985.16;3.16;1.79;2.37;1.82;1.28;1.59;549
50;USED;988.70;67108864;0.70;0.82;5.86;TRUE;698.68;0.12;194.23;984.80;43.37;561.96;984.94;693.28;756.19;2.48;0.37;1.48;1.92;0.96;1.54;549
50;NOT USED;491.55;32095088;0.70;0.74;2.45;TRUE;5.03;0.12;0.24;479.16;471.00;471.19;484.19;471.13;471.43;3.15;1.80;2.37;1.82;1.28;1.59;549
50;NOT USED;1004.79;67108864;0.70;0.71;1.16;TRUE;5.90;0.12;0.25;989.34;984.78;984.90;995.24;984.91;985.16;3.16;1.79;2.37;1.82;1.28;1.59;549
50;NOT USED;999.02;67108864;0.70;0.70;0.72;TRUE;1.96;0.12;0.18;985.02;984.78;984.81;986.77;984.91;984.99;3.15;1.78;2.36;1.82;1.28;1.59;549
50;USED;988.93;67108864;0.70;0.72;1.06;TRUE;699.35;0.12;194.21;984.80;43.41;561.75;984.95;693.28;755.96;2.49;0.40;1.48;1.92;0.96;1.55;549
50;USED;988.93;67108864;0.70;0.72;1.06;TRUE;699.35;0.12;194.21;984.80;43.41;561.75;984.95;693.28;755.96;2.49;0.40;1.48;1.92;0.96;1.55;549
50;NOT USED;999.02;67108864;0.70;0.70;0.72;TRUE;1.96;0.12;0.18;985.02;984.78;984.81;986.77;984.91;984.99;3.15;1.78;2.36;1.82;1.28;1.59;549
50;USED;988.70;67108864;0.70;0.82;5.86;TRUE;698.68;0.12;194.23;984.80;43.37;561.96;984.94;693.28;756.19;2.48;0.37;1.48;1.92;0.96;1.54;549
50;NOT USED;1991.35;134217728;0.70;0.71;1.29;TRUE;3.59;0.12;0.21;1981.21;1969.52;1969.79;1984.81;1969.65;1970.00;3.13;1.81;2.37;1.82;1.28;1.59;549
50;USED;1972.92;134217728;0.70;0.71;0.85;TRUE;1400.14;0.12;390.37;1969.54;86.69;1123.44;1969.68;1386.39;1513.81;2.46;0.37;1.48;1.92;0.96;1.54;549
50;NOT USED;1987.25;134217728;0.70;0.70;0.80;TRUE;6.88;0.12;0.28;1971.58;1969.52;1969.61;1978.46;1969.65;1969.89;3.28;1.80;2.37;1.82;1.28;1.59;549
50;NOT USED;1987.25;134217728;0.70;0.70;0.80;TRUE;6.88;0.12;0.28;1971.58;1969.52;1969.61;1978.46;1969.65;1969.89;3.28;1.80;2.37;1.82;1.28;1.59;549
50;USED;1974.31;134217728;0.70;0.71;0.85;TRUE;1400.00;0.12;389.54;1969.54;86.68;1123.45;1969.68;1386.38;1512.99;2.46;0.35;1.48;1.92;0.96;1.54;549
50;USED;1974.31;134217728;0.70;0.71;0.85;TRUE;1400.00;0.12;389.54;1969.54;86.68;1123.45;1969.68;1386.38;1512.99;2.46;0.35;1.48;1.92;0.96;1.54;549
50;NOT USED;1991.35;134217728;0.70;0.71;1.29;TRUE;3.59;0.12;0.21;1981.21;1969.52;1969.79;1984.81;1969.65;1970.00;3.13;1.81;2.37;1.82;1.28;1.59;549
50;USED;1972.92;134217728;0.70;0.71;0.85;TRUE;1400.14;0.12;390.37;1969.54;86.69;1123.44;1969.68;1386.39;1513.81;2.46;0.37;1.48;1.92;0.96;1.54;549
75;USED;74.53;2239815;0.80;1.42;3.23;TRUE;30.71;0.12;12.07;67.91;4.62;12.92;68.05;7.79;24.99;4.84;0.45;1.36;3.68;0.84;1.48;266
75;USED;75.49;2239815;0.82;3.93;24.27;TRUE;27.71;0.12;11.15;68.02;4.71;13.08;68.19;7.95;24.23;13.20;1.28;4.22;3.00;0.84;1.68;266
75;NOT USED;72.03;2239815;0.80;1.19;27.77;TRUE;0.17;0.12;0.14;67.91;47.40;47.86;68.06;47.53;48.01;4.77;2.46;3.40;1.84;1.31;1.57;266
75;NOT USED;149.35;4293938;0.75;1.01;19.39;TRUE;1.26;0.12;0.15;130.11;90.84;91.60;130.26;90.96;91.76;4.76;2.46;3.40;1.84;1.31;1.57;266
75;NOT USED;145.79;4293938;0.75;0.93;13.17;TRUE;0.88;0.12;0.15;130.11;90.84;91.53;130.27;90.96;91.68;4.77;2.46;3.40;1.84;1.31;1.57;266
75;USED;141.21;4293938;0.75;1.06;2.01;TRUE;39.72;0.12;20.48;130.12;8.82;24.71;130.27;21.10;45.19;4.85;0.45;1.36;3.68;0.84;1.46;266
75;USED;139.44;4293938;0.75;1.10;4.03;TRUE;39.95;0.13;22.51;130.11;8.82;24.71;130.27;23.48;47.22;4.81;0.42;1.36;3.68;0.84;1.46;266
75;NOT USED;273.14;8869498;0.72;0.73;0.80;TRUE;3.15;0.12;0.18;268.69;187.58;188.69;268.83;187.70;188.88;4.76;2.47;3.40;1.84;1.31;1.57;266
75;NOT USED;283.55;8869498;0.72;0.80;5.97;TRUE;5.06;0.12;0.21;268.69;187.58;188.82;268.84;187.71;189.03;4.76;2.46;3.40;1.84;1.31;1.57;266
75;USED;287.66;8869498;0.72;0.87;1.37;TRUE;70.17;0.12;38.19;268.69;18.16;50.97;268.84;48.30;89.17;4.85;0.45;1.36;3.68;0.84;1.46;266
75;USED;276.81;8869498;0.72;0.87;1.34;TRUE;70.12;0.13;40.42;268.69;18.16;50.97;268.84;48.30;91.40;4.82;0.43;1.36;3.68;0.84;1.46;266
75;NOT USED;493.30;15890720;0.71;0.76;4.14;TRUE;3.20;0.12;0.18;481.32;336.04;338.17;481.48;336.16;338.35;4.78;2.47;3.40;1.84;1.31;1.58;266
75;USED;487.32;15890720;0.71;0.80;1.25;TRUE;101.01;0.13;65.57;481.33;32.49;91.28;481.48;86.39;156.86;4.88;0.43;1.36;3.68;0.84;1.46;266
75;USED;490.77;15890720;0.71;0.79;1.06;TRUE;101.07;0.12;64.80;481.33;32.49;91.28;481.48;86.39;156.09;4.82;0.41;1.36;3.68;0.84;1.46;266
75;NOT USED;495.50;15890720;0.71;0.73;2.02;TRUE;7.06;0.12;0.23;481.32;336.04;338.07;481.48;336.16;338.31;4.75;2.46;3.40;2.62;1.31;1.58;266
75;NOT USED;988.89;32095088;0.70;0.74;3.40;TRUE;1.00;0.12;0.15;972.08;678.67;682.88;972.23;678.79;683.03;4.76;2.45;3.41;1.84;1.31;1.57;266
75;NOT USED;991.22;32095088;0.70;0.71;1.27;TRUE;3.23;0.12;0.18;972.08;678.67;682.69;972.23;678.79;682.88;4.80;2.48;3.42;1.84;1.31;1.57;266
75;USED;979.40;32095088;0.70;0.74;0.91;TRUE;195.40;0.13;132.01;972.08;65.57;184.31;972.24;174.30;316.33;4.84;0.44;1.36;3.68;0.84;1.46;266
75;USED;980.13;32095088;0.70;0.79;3.71;TRUE;188.70;0.13;128.79;972.08;65.57;184.35;972.23;174.29;313.14;4.90;0.43;1.36;3.68;0.84;1.46;266
75;USED;2040.43;67108864;0.70;0.72;1.01;TRUE;382.53;0.12;269.33;2032.48;137.05;385.33;2032.63;364.24;654.67;4.86;0.46;1.36;3.68;0.84;1.46;266
75;NOT USED;2044.15;67108864;0.70;0.70;0.99;TRUE;0.17;0.12;0.14;2032.55;1419.00;1427.33;2032.71;1419.12;1427.47;4.78;2.45;3.40;1.84;1.31;1.57;266
75;USED;2039.13;67108864;0.70;0.72;0.88;TRUE;380.89;0.13;271.05;2032.48;137.05;385.33;2032.63;364.24;656.38;4.84;0.46;1.35;3.68;0.84;1.46;266
75;NOT USED;2039.47;67108864;0.70;0.70;0.92;TRUE;1.16;0.12;0.15;2032.48;1419.00;1427.31;2032.65;1419.12;1427.46;4.80;2.48;3.40;1.84;1.31;1.57;266
